tweet_id,thread_id,author_id,created_at,text,context_json,historical_reply,sampling_stratum,suggested_intent,suggested_intent_reason,suggested_escalate,suggested_escalation_reason,suggested_escalation_explanation,suggested_reply_should_include,suggested_reply_must_not_claim,suggested_by_model,intent,escalate,escalation_reason,reply_should_include,reply_must_not_claim,annotator_notes,annotation_method,human_verified
11178,11178,118118,Tue Oct 31 23:12:31 +0000 2017,Hey @115888  what about being available in India???,[],@118118 Hey there! We're launching regularly in countries around the world. Sign up here to be first to hear: https://t.co/XDwWzj7cLP 🙂 /KC,pilot,,,,,,,,,,,,,,,,
1430572,1430574,452221,Mon Oct 16 18:18:07 +0000 2017,@SpotifyCares Thanks and I enjoy your services,"[{""tweet_id"": ""1430574"", ""author_id"": ""115888"", ""inbound"": true, ""text"": ""And here's 150 more 🎧\nhttps://t.co/xoQXzfUa0c https://t.co/t0ltuNPhRm""}, {""tweet_id"": ""1430573"", ""author_id"": ""452221"", ""inbound"": true, ""text"": ""@115888 Please censor your ads on desktop mode. (I have a paid subscription.) A FAITHFUL married man doesn't want to see women bent over.""}, {""tweet_id"": ""1430571"", ""author_id"": ""SpotifyCares"", ""inbound"": false, ""text"": ""@452221 We hear you, Danziel! Your feedback has been noted and passed onto the team 👊🏼 /JX""}]",,pilot,,,,,,,,,,,,,,,,
2795559,2795559,193682,Tue Nov 21 22:07:16 +0000 2017,@SpotifyCares I’m having trouble logging in on the Spotify app on my computer. Any way you can help?,[],"@193682 Hey Paul, help's arrived! Could you DM us your email address and username? We'll check it out 🔍 /JZ https://t.co/ldFdZR1cbT",pilot,,,,,,,,,,,,,,,,
2402500,2402500,691186,Tue Nov 14 12:50:58 +0000 2017,Hi @115888 how can I change to a student premium account from my regular premium account? You're great x,[],"@691186 Hey Maria, we'd love to help out. Can you DM us your account's email address? We'll check backstage /AC https://t.co/ldFdZRiNAt",pilot,,,,,,,,,,,,,,,,
1935014,1935014,423224,Sun Oct 29 06:17:19 +0000 2017,@115888 I really wanna know why Fifth Harmony’s I’m in Love With a Monster isn’t in your “Halloween Monster Jams” playlist https://t.co/GXKv13XYWP,[],"@423224 Hi! Our Curation team is independent &amp; use taste, data, research, and trends to create playlists, but we’ll pass on your suggestion /NY",pilot,,,,,,,,,,,,,,,,
2522617,2522617,452133,Thu Nov 16 01:30:21 +0000 2017,"@SpotifyCares once again, your app went to album radio when all I did was hit play to continue playing an album I was listening to. I didn’t select anything else. Just the big play button",[],"@452133 Hi there. Don't worry, help's here. Can you reinstall the app by following the steps here: https://t.co/EqisDMwZAT? /JU",pilot,,,,,,,,,,,,,,,,
1997489,1997489,590625,Fri Nov 03 16:35:46 +0000 2017,@115888 how can we get on a major playlist on Spotify. Does Spotify new artist?   Checkout Our First Single https://t.co/GpdH6llhlP,[],@590625 Hey! Our Curation team is independent so there's no formal submission process. Check out https://t.co/6BMOmfiZvQ to help gain visibility /TR,pilot,,,,,,,,,,,,,,,,
2001991,2001991,591984,Fri Nov 03 21:12:44 +0000 2017,@117153 Hello! I´m paying for spotify premium and I just have the free one. Could you help me? My account is mariavalen14,[],@591984 Hey there! Can you DM us the first 6 and last 4 digits of your payment card as well as your date of birth? We'll take a look backstage /CG https://t.co/ldFdZRiNAt,pilot,,,,,,,,,,,,,,,,
2308805,2308807,669687,Mon Nov 13 02:31:23 +0000 2017,@SpotifyCares Okay thanks!,"[{""tweet_id"": ""2308807"", ""author_id"": ""669687"", ""inbound"": true, ""text"": ""@115888 @SpotifyCares when will we get our Top Songs of 2017 playlist?""}, {""tweet_id"": ""2308806"", ""author_id"": ""SpotifyCares"", ""inbound"": false, ""text"": ""@669687 Hey there! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /NQ""}]",@669687 You're welcome. Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /NQ,pilot,,,,,,,,,,,,,,,,
1830234,1830234,549224,Tue Oct 17 15:27:18 +0000 2017,@115888 HELP- Need help with upgrading to premium for students. It's not working. Says it can't confirm. I have a .edu account I am using..,[],"@549224 Hey Krista, help's here! Can you DM us your account's email address or username? We'll take a look backstage /JE https://t.co/ldFdZRiNAt",pilot,,,,,,,,,,,,,,,,
2528338,2528338,719871,Thu Nov 16 05:37:09 +0000 2017,"@SpotifyCares please explain to me why I can not save an unlimited amount of albums to my library on #Spotify. It's…shocking to see this. I am not mad, just confused!😅🤯 https://t.co/hvvN7uSqYO",[],"@719871 Hey Keir! How many tracks would you say you have in Songs (roughly)? e.g. 100, 1000, 5000, or more? /AR",pilot,,,,,,,,,,,,,,,,
2298256,2298254,667136,Sun Nov 12 18:59:04 +0000 2017,@SpotifyCares Thank you.,"[{""tweet_id"": ""2298254"", ""author_id"": ""667136"", ""inbound"": true, ""text"": ""Good morning @115888. You know I love you but why, oh why, are you not playing fair? The new 60s album 'Ready, Steady, Go-The Sixties' has 60-repeat-60 tracks, yet on Spotify, you only have 16? An explanation, please?""}, {""tweet_id"": ""2298252"", ""author_id"": ""SpotifyCares"", ""inbound"": false, ""text"": ""@667136 Hey there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /RS""}, {""tweet_id"": ""2298253"", ""author_id"": ""667136"", ""inbound"": true, ""text"": ""@SpotifyCares It's a bit strange where you can play 16 of the tracks; all by the same groups or similar, but not all. Perhaps you should've waited to get full agreements from all of the bands, before offering it up. It's an era I love, so I was disappointed. I hope it can be sorted out. Thanks""}, {""tweet_id"": ""2298255"", ""author_id"": ""SpotifyCares"", ""inbound"": false, ""text"": ""@667136 We hear you - we do our best! But sometimes agreements are ongoing, or can't be reached with the content provider /GT""}]",@667136 https://t.co/rkpsuGlCiy! We're just a tweet away if there's anything else. Have a nice day 😉 /GT,pilot,,,,,,,,,,,,,,,,
1774243,1774246,533214,Tue Oct 17 21:54:08 +0000 2017,@SpotifyCares Saw this tweet. All the artists he mentions are also not playing for me. https://t.co/lyib4q2Pv6,"[{""tweet_id"": ""1774246"", ""author_id"": ""533214"", ""inbound"": true, ""text"": ""@SpotifyCares Hi, several songs in Spotify won't play anymore on my account since this weekend. Says 'song is unavailable'. Any advice?""}, {""tweet_id"": ""1774245"", ""author_id"": ""533214"", ""inbound"": true, ""text"": ""@SpotifyCares Both desktop and mobile. Seems to be on a per-artist basis. E.g. Grouplove, Weezer, Cage The Elephant and more don't work, others fine.""}, {""tweet_id"": ""1774244"", ""author_id"": ""533214"", ""inbound"": true, ""text"": ""@SpotifyCares I have changed country right before the weekend (geographically, not in settings). Could it have anything to do with it?""}]",@533214 Hey there! Can you DM us your account's email address or username? We'll take a look backstage /PB https://t.co/ldFdZRiNAt,pilot,,,,,,,,,,,,,,,,
2307184,2307184,669300,Sun Nov 12 23:38:38 +0000 2017,Yo @115888 why the errors today? https://t.co/PNdAUQLwyS,[],@669300 Hey Bryan! Help has arrived. Can you DM us your account's email address? We'll take a look under the hood /KB https://t.co/ldFdZRiNAt,pilot,,,,,,,,,,,,,,,,
