system,tweet_id,text,draft_reply,decision,reason,annotator,groundedness,helpfulness,tone,safety,notes
main,118883,@SpotifyCares Just dm'd you,Thanks for reaching out! We've received your DM and will take a look under the hood to help you get back into your account. /JM,ESCALATE,account_or_security_action,annotator_1,5,4,5,5,
main,2970780,@115888 why does my iOS app keep randomly pausing and I have to restart it every time someone calls?!😭😖,"Hey! That sounds frustrating. Can you let us know your device, OS, and Spotify version? We'll see what we can suggest.",AUTO_HANDLE,none,annotator_1,5,5,5,5,
trivial,1426071,Thank you to the team @SpotifyCares to sort my problem out. Awesome customer service 👍#Spotify #spotifycares #CustomerService,Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_1,5,2,4,5,
main,466029,"@SpotifyCares my account still on basic mode even I've paid for premium, what should i do?",Hey there! We're sorry to hear your account is still on Basic mode despite the payment. Please DM us your account's username or email address so we can look into this backstage 🔍,AUTO_HANDLE,none,annotator_1,2,4,4,2,
main,1842975,Hey @115888 @117168 how do I change my account from a regular account to a student account? I’ve been a student for about 4 months and I haven’t had any help with this.,Hi there! We're here to help. You can find all the information you need to know about the student discount here: https://t.co/rdZ9slIDDQ. Let us know if you have any questions!,AUTO_HANDLE,none,annotator_1,5,3,5,5,
simple,620317,"@SpotifyCares Hey guys, you really should consider including release date of the songs, so it would be easier to sort by year. Making it much easier to create playlists from my songs based on decades. I think it would be really cool on Spotify for PC. ;)",@579223 Thanks for the feedback – we appreciate it! We’ll get this passed onto the right team 💚 /JS,AUTO_HANDLE,none,annotator_1,5,3,5,5,
main,275230,"blocked from playing @115888 *premium* on my phone. yes im crazy, its because i wanna play classical music for my dog on my computer and keep him calm while im out. is this possible with a premium membership?",Hi! We understand you want to keep your dog calm while you're out. We can help clarify how to use Spotify on your computer and phone. Please DM us your account email so we can check your specific setup and suggest the best way to play music for your pet.,ESCALATE,low_evidence,annotator_1,1,2,3,3,
main,1666483,@SpotifyCares you charged me 9.99 for spotify when i am supposed to have the 4.99 student + hulu account wtf ? ? ?,Hey there! We're sorry to hear about the unexpected charge. Please DM us your account's email address so we can take a look under the hood and help resolve this for you.,ESCALATE,billing_or_refund,annotator_1,5,4,5,5,
simple,2913904,@115888 what's goin on with the app yo?,"@215152 Hi Lauren, help's here. Can you let us know the device/OS and Spotify version you're using? We'll see what we can suggest /NY",AUTO_HANDLE,none,annotator_1,5,4,5,5,
main,2913948,@SpotifyCares your app is down,"Hey there! Sorry to hear the app is down. Could you let us know your device, operating system, and Spotify version? We'll see what we can suggest.",AUTO_HANDLE,none,annotator_1,2,3,3,3,
main,113854,@115888 What about 99p a month for loyal customers who’ve been premium since Spotify started?,"Hey! Right now, this offer is for new subscribers only. Stay tuned for more deals for existing Premium subscribers, though 🙂",AUTO_HANDLE,none,annotator_1,5,4,5,5,
trivial,594068,"@116130 im trying to activate my student discount on @260711 but every time I do it asked me to enter my card details... but I already have a Spotify account, is this correct?",Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_1,5,3,4,5,
trivial,175483,@118266 halo saya mau daftar premium spotify pakai indosat kok gak nerima sms utk pinnya ya? udh saya tunggu &amp; cb berkali2 gak bisa. pdhl biasanya lancar aja. gmn solusinya? thanks 😀,Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_1,5,3,4,5,
trivial,620439,"@SpotifyCares Is it possible to delete my debit card from spotify after i have payed for it, without canceling the order?",Thanks for reaching out. Please tell us more so we can help.,ESCALATE,low_evidence,annotator_1,5,2,4,5,
main,497758,HOW DO I BLOCK FRANKIE COSMOS FROM APPEARING IN MY DAILY MIXES @115888,"Hi! It isn't possible to block specific artists from appearing in Daily Mixes right now, but you can show your support for this idea here: https://t.co/oGDLtirXki",ESCALATE,low_evidence,annotator_1,5,4,5,4,
simple,2883054,"@SpotifyCares I see that in Android mobile and Windows PC.
When see Strauss autor can see Tchaikovsky song as most played, and song of a band named Strauss.",@626616 Hi there! Have you tried logging out &gt; restarting your computer &gt; then logging back in? A screenshot of the error message will be handy /CO,ESCALATE,low_evidence,annotator_1,4,3,4,4,
simple,412344,@SpotifyCares No it’s just it’s very misleading saying 30 mins ad free music and only getting through 3 songs,"@610679 Hey, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /JN",ESCALATE,low_evidence,annotator_1,3,2,4,3,
simple,2784964,@SpotifyCares i was charged for regular premium even tho i should get the student discount and it looks like im on both pls..help https://t.co/ZGhnDDjaCO,@506851 Hey! Can you DM us your account's email address? We'll take a look backstage /K https://t.co/ldFdZRiNAt,ESCALATE,billing_or_refund,annotator_1,5,4,5,5,
simple,175483,@118266 halo saya mau daftar premium spotify pakai indosat kok gak nerima sms utk pinnya ya? udh saya tunggu &amp; cb berkali2 gak bisa. pdhl biasanya lancar aja. gmn solusinya? thanks 😀,"@304149 Hi there. We can help out in English via Twitter, but we also have Bahasa support via email at https://t.co/ZgU70TbP8M /JU",AUTO_HANDLE,none,annotator_1,5,4,4,2,
