tweet_id,thread_id,author_id,created_at,text,context_json,historical_reply,sampling_stratum,suggested_intent,suggested_intent_reason,suggested_escalate,suggested_escalation_reason,suggested_escalation_explanation,suggested_reply_should_include,suggested_reply_must_not_claim,suggested_by_model,intent,escalate,escalation_reason,reply_should_include,reply_must_not_claim,annotator_notes,annotation_method,human_verified
128876,128876,144993,Fri Nov 24 02:15:08 +0000 2017,"@115888 @SpotifyCares @117168
Who should I send recommendations like these to?:
Starred Playlists
Search bar when adding a song
An even more accurate “Discover Weekly”
Boom, Equalify— companies for computers👌🏻, but phones? Incorporate #SpotEQ into your own app, etc.",[],"@144993 We hear you, David! Rest assured, your feedback will be passed on to the right folks /NS",representative,feedback_other,User provides feature suggestions and recommendations.,false,none,"Standard feedback handling, no urgent action.",Acknowledge feedback and confirm it is shared.,Promise specific feature implementation timelines.,qwen/qwen3.6-27b,feedback_other,false,none,Acknowledge feedback and confirm it is shared.,Promise specific feature implementation timelines.,Accepted Groq suggestion,ai_assisted_human_verified,true
123462,123462,143582,Fri Nov 24 00:03:56 +0000 2017,"I was trying to get premium and i couldnt get through. Tried it a couple of time though. Why @SpotifyCares ? 😭

Pls help 😥 https://t.co/U1jx6RrFDu",[],@143582 Hey there! We'll help out. Can you DM us your account's email address? We'll take a look under the hood /AN https://t.co/ldFdZRiNAt,challenge_rare,payments_refunds,User reports failure to purchase Premium.,false,none,"Common payment issue, standard troubleshooting.",Request account details via DM.,Guarantee immediate refund or credit.,qwen/qwen3.6-27b,payments_refunds,true,billing_or_refund,Request account details via DM.,Guarantee immediate refund or credit.,Escalated because the purchase failure may require account or payment-specific support.,ai_assisted_human_verified,true
91667,91667,135880,Thu Nov 30 15:07:35 +0000 2017,"@SpotifyCares Trying to recover password, but getting ""CSRF token is invalid"" - help? Previously signed up through FB but want to avoid using moving forward",[],"@135880 Hey Jonathan! Can you DM us your account's username and email address, along with a screenshot of the error message that you're getting? We'll take a look backstage /SY https://t.co/ldFdZRiNAt",representative,account_access_security,User faces password recovery error.,false,none,"Technical error, requires account verification.","Request username, email, and error screenshot.",Reset password without verification steps.,qwen/qwen3.6-27b,account_access_security,false,none,"Request username, email, and error screenshot.",Reset password without verification steps.,Accepted Groq suggestion,ai_assisted_human_verified,true
522730,522733,240746,Sun Dec 03 07:00:11 +0000 2017,@240747 @SpotifyCares Me too Windows 7 32bit. Before yesterday Spotify was run normally.,"[{""tweet_id"": ""522733"", ""author_id"": ""SpotifyCares"", ""inbound"": false, ""text"": ""@240746 Hey there! We have Thai support via email at https://t.co/zu6tKj0zLO, but we can help out in English here. Just let us know what's happening exactly. We'd love to lend a hand 🙂 /KC""}, {""tweet_id"": ""522726"", ""author_id"": ""240746"", ""inbound"": true, ""text"": ""@SpotifyCares I already solved by myself, delete all Spotify files on my PC and re-install""}, {""tweet_id"": ""522724"", ""author_id"": ""SpotifyCares"", ""inbound"": false, ""text"": ""@240746 We're happy to hear everything's sorted out! If there's anything else you need, just give us a shout 🙂 /KC""}, {""tweet_id"": ""522725"", ""author_id"": ""240746"", ""inbound"": true, ""text"": ""@SpotifyCares begin again LOL and your support link is 404 https://t.co/KGl1eRevws https://t.co/3OSWF08yhT""}, {""tweet_id"": ""522727"", ""author_id"": ""SpotifyCares"", ""inbound"": false, ""text"": ""@240746 That doesn't look good. Which operating system are you running? By the way, can you head over to this link to see if it'll work: https://t.co/MQtBW54x7q? /YM""}, {""tweet_id"": ""522728"", ""author_id"": ""240747"", ""inbound"": true, ""text"": ""@SpotifyCares @240746 I am having exactly the same problem and get the same message when I reinstall it. I am running it on a windows 7 32 bit Dell PC.""}]",@240746 Hmm. Could you DM us your account's username or email address? We'll check behind the scenes /RE https://t.co/ldFdZRiNAt,challenge_followup,app_device_features,User reports app installation failure on Windows.,false,none,Technical support for app functionality.,Request account details for investigation.,Guarantee compatibility with outdated OS.,qwen/qwen3.6-27b,app_device_features,false,none,Request account details for investigation.,Guarantee compatibility with outdated OS.,Accepted Groq suggestion,ai_assisted_human_verified,true
590167,590167,259562,Sat Dec 02 17:23:04 +0000 2017,is there no way i can change my spotify username,[],@259562 Hey there! We've just replied to your DM. Let's continue chatting there /GT,representative,account_access_security,User requests username change.,false,none,Standard account management request.,Direct user to DM or help article.,Ability to change username instantly.,qwen/qwen3.6-27b,account_access_security,false,none,Direct user to DM or help article.,Ability to change username instantly.,Accepted Groq suggestion,ai_assisted_human_verified,true
2935487,2935487,811597,Wed Nov 29 09:25:29 +0000 2017,"@SpotifyCares hi want to cancel my Spotify, how do I do it as it gets charged to my mobile bill",[],"@811597 Hey Robert, help's here! Can you DM us your account's username or email address? We'll see what we can suggest /LS https://t.co/ldFdZRiNAt",representative,plan_management_eligibility,User wants to cancel subscription.,false,none,Standard cancellation inquiry.,Cancellation steps or link.,Refund guaranteed.,qwen/qwen3.6-27b,plan_management_eligibility,false,none,Cancellation steps or link.,Refund guaranteed.,Accepted Groq suggestion,ai_assisted_human_verified,true
620317,620317,267231,Wed Nov 22 15:13:25 +0000 2017,"@SpotifyCares Hey guys, you really should consider including release date of the songs, so it would be easier to sort by year. Making it much easier to create playlists from my songs based on decades. I think it would be really cool on Spotify for PC. ;)",[],@267231 Hey! We've just sent you a DM 🙂 /MX,representative,feedback_other,Feature request for release dates.,false,none,Non-urgent product feedback.,Thanks for feedback.,Feature will be added.,qwen/qwen3.6-27b,feedback_other,false,none,Thanks for feedback.,Feature will be added.,Accepted Groq suggestion,ai_assisted_human_verified,true
594068,594068,260710,Sun Dec 03 13:22:44 +0000 2017,"@116130 im trying to activate my student discount on @260711 but every time I do it asked me to enter my card details... but I already have a Spotify account, is this correct?",[],@260710 Hey Holley! Could you send us your account's username or email address? We'll take a look and see what we can suggest 🔍 /DB https://t.co/ldFdZRiNAt,representative,plan_management_eligibility,Student discount activation issue.,false,none,Standard eligibility verification.,Verification steps.,Discount approved.,qwen/qwen3.6-27b,plan_management_eligibility,false,none,Verification steps.,Discount approved.,Accepted Groq suggestion,ai_assisted_human_verified,true
688062,688063,284356,Thu Nov 23 09:46:42 +0000 2017,@115888 For some reason I can't stream on Extreme quality on mobile data,"[{""tweet_id"": ""688063"", ""author_id"": ""115888"", ""inbound"": true, ""text"": ""Premium gives you unlimited skips. Get 3 months now for just RM2. https://t.co/nnWRooqnWB""}]","@284356 Hi there! That doesn't sound good. Are you getting any errors when streaming on Extreme quality while using your mobile data? If so, send us a screenshot so we can take a closer look /QI",representative,playback_connectivity,Streaming quality issue on mobile.,false,none,Technical troubleshooting needed.,Troubleshooting steps.,Network issue fixed.,qwen/qwen3.6-27b,playback_connectivity,false,none,Troubleshooting steps.,Network issue fixed.,Accepted Groq suggestion,ai_assisted_human_verified,true
653101,653101,275303,Wed Nov 22 18:56:02 +0000 2017,@115888 hey I have a question about my recent bill,[],"@275303 Hey there, help's arrived! Can you DM us your username and email address? We'll take a look under the hood /PC https://t.co/ldFdZRiNAt",representative,payments_refunds,Question about recent bill.,false,none,Billing inquiry requires details.,Request account details.,Bill is correct.,qwen/qwen3.6-27b,payments_refunds,false,none,Request account details.,Bill is correct.,Accepted Groq suggestion,ai_assisted_human_verified,true
